ID	CHOICE	STORES1	TRANSPORT1	CITY1	NOISE1	GREEN1	FOREIGN1	STORES2	TRANSPORT2	CITY2	NOISE2	GREEN2	FOREIGN2	STORES3	TRANSPORT3	CITY3	NOISE3	GREEN3	FOREIGN3	AGE_2	AGE_3	WOMAN_1	HOMEOWNER_1	CAROWNER_1	RESPCITY_2	RESPCITY_3	RESPCITY_4	JOB_1	NONWESTERN_1	WESTERN_1	draw	train_set	test_set
2	1	10	5	1	2	2	0.4	15	10	2	3	3	0.1	2	15	4	4	4	0.2	1	0	0	0	0	0	1	0	0	0	0	0.6964691855978616	True	False
2	2	15	5	4	4	1	0.1	2	10	5	1	2	0.2	5	15	1	2	3	0.3	1	0	0	0	0	0	1	0	0	0	0	0.6964691855978616	True	False
2	3	10	15	1	3	1	0.4	15	2	2	4	2	0.1	2	5	4	1	3	0.2	1	0	0	0	0	0	1	0	0	0	0	0.6964691855978616	True	False
2	2	15	15	5	4	4	0.4	2	2	1	1	1	0.1	5	5	2	2	2	0.2	1	0	0	0	0	0	1	0	0	0	0	0.6964691855978616	True	False
3	2	15	5	5	1	3	0.4	2	10	1	2	4	0.1	5	15	2	3	1	0.2	1	0	1	0	1	1	0	0	1	0	0	0.28613933495037946	True	False
3	2	5	15	1	4	4	0.2	10	2	2	1	1	0.3	15	5	4	2	2	0.4	1	0	1	0	1	1	0	0	1	0	0	0.28613933495037946	True	False
3	3	15	2	2	3	2	0.2	2	5	4	4	3	0.3	5	10	5	1	4	0.4	1	0	1	0	1	1	0	0	1	0	0	0.28613933495037946	True	False
3	1	10	2	5	1	1	0.3	15	5	1	2	2	0.4	2	10	2	3	3	0.1	1	0	1	0	1	1	0	0	1	0	0	0.28613933495037946	True	False
5	2	2	2	1	1	1	0.1	5	5	2	2	2	0.2	10	10	4	3	3	0.3	1	0	0	0	1	0	0	1	1	0	0	0.2268514535642031	True	False
5	1	5	10	5	3	3	0.1	10	15	1	4	4	0.2	15	2	2	1	1	0.3	1	0	0	0	1	0	0	1	1	0	0	0.2268514535642031	True	False
5	3	2	5	4	3	4	0.3	5	10	5	4	1	0.4	10	15	1	1	2	0.1	1	0	0	0	1	0	0	1	1	0	0	0.2268514535642031	True	False
5	2	10	15	2	2	3	0.1	15	2	4	3	4	0.2	2	5	5	4	1	0.3	1	0	0	0	1	0	0	1	1	0	0	0.2268514535642031	True	False
13	3	10	10	4	1	4	0.2	15	15	5	2	1	0.3	2	2	1	3	2	0.4	1	0	0	0	0	0	0	1	1	1	0	0.5513147690828912	True	False
13	3	10	10	5	4	2	0.3	15	15	1	1	3	0.4	2	2	2	2	4	0.1	1	0	0	0	0	0	0	1	1	1	0	0.5513147690828912	True	False
13	1	5	2	4	3	2	0.4	10	5	5	4	3	0.1	15	10	1	1	4	0.2	1	0	0	0	0	0	0	1	1	1	0	0.5513147690828912	True	False
13	3	2	10	1	4	2	0.1	5	15	2	1	3	0.2	10	2	4	2	4	0.3	1	0	0	0	0	0	0	1	1	1	0	0.5513147690828912	True	False
14	1	15	10	2	2	1	0.2	2	15	4	3	2	0.3	5	2	5	4	3	0.4	1	0	1	0	1	0	1	0	1	0	0	0.7194689697855631	True	False
14	2	15	2	1	2	4	0.3	2	5	2	3	1	0.4	5	10	4	4	2	0.1	1	0	1	0	1	0	1	0	1	0	0	0.7194689697855631	True	False
14	1	2	10	2	1	4	0.4	5	15	4	2	1	0.1	10	2	5	3	2	0.2	1	0	1	0	1	0	1	0	1	0	0	0.7194689697855631	True	False
14	3	5	10	4	2	1	0.4	10	15	5	3	2	0.1	15	2	1	4	3	0.2	1	0	1	0	1	0	1	0	1	0	0	0.7194689697855631	True	False
19	2	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	1	0	1	0	1	0	0	1	1	0	0	0.42310646012446096	True	False
19	3	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	1	0	1	0	1	0	0	1	1	0	0	0.42310646012446096	True	False
19	1	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	1	0	1	0	1	0	0	1	1	0	0	0.42310646012446096	True	False
19	2	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	1	0	1	0	1	0	0	1	1	0	0	0.42310646012446096	True	False
21	1	10	10	4	1	4	0.2	15	15	5	2	1	0.3	2	2	1	3	2	0.4	1	0	1	0	1	0	1	0	1	1	0	0.9807641983846155	False	True
21	3	10	10	5	4	2	0.3	15	15	1	1	3	0.4	2	2	2	2	4	0.1	1	0	1	0	1	0	1	0	1	1	0	0.9807641983846155	False	True
21	3	5	2	4	3	2	0.4	10	5	5	4	3	0.1	15	10	1	1	4	0.2	1	0	1	0	1	0	1	0	1	1	0	0.9807641983846155	False	True
21	3	2	10	1	4	2	0.1	5	15	2	1	3	0.2	10	2	4	2	4	0.3	1	0	1	0	1	0	1	0	1	1	0	0.9807641983846155	False	True
24	1	15	10	2	2	1	0.2	2	15	4	3	2	0.3	5	2	5	4	3	0.4	1	0	1	0	1	0	0	0	1	0	0	0.6848297385848633	True	False
24	1	15	2	1	2	4	0.3	2	5	2	3	1	0.4	5	10	4	4	2	0.1	1	0	1	0	1	0	0	0	1	0	0	0.6848297385848633	True	False
24	2	2	10	2	1	4	0.4	5	15	4	2	1	0.1	10	2	5	3	2	0.2	1	0	1	0	1	0	0	0	1	0	0	0.6848297385848633	True	False
24	1	5	10	4	2	1	0.4	10	15	5	3	2	0.1	15	2	1	4	3	0.2	1	0	1	0	1	0	0	0	1	0	0	0.6848297385848633	True	False
25	3	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	1	0	1	0	1	1	0	0	0	0	0	0.48093190148436094	True	False
25	2	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	1	0	1	0	1	1	0	0	0	0	0	0.48093190148436094	True	False
25	2	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	1	0	1	0	1	1	0	0	0	0	0	0.48093190148436094	True	False
25	3	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	1	0	1	0	1	1	0	0	0	0	0	0.48093190148436094	True	False
27	2	15	5	5	1	3	0.4	2	10	1	2	4	0.1	5	15	2	3	1	0.2	1	0	1	1	1	1	0	0	1	0	0	0.3921175181941505	True	False
27	2	5	15	1	4	4	0.2	10	2	2	1	1	0.3	15	5	4	2	2	0.4	1	0	1	1	1	1	0	0	1	0	0	0.3921175181941505	True	False
27	1	15	2	2	3	2	0.2	2	5	4	4	3	0.3	5	10	5	1	4	0.4	1	0	1	1	1	1	0	0	1	0	0	0.3921175181941505	True	False
27	3	10	2	5	1	1	0.3	15	5	1	2	2	0.4	2	10	2	3	3	0.1	1	0	1	1	1	1	0	0	1	0	0	0.3921175181941505	True	False
28	2	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	0	1	0	0	1	0	0	0	0	0	0	0.3431780161508694	True	False
28	1	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	0	1	0	0	1	0	0	0	0	0	0	0.3431780161508694	True	False
28	2	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	0	1	0	0	1	0	0	0	0	0	0	0.3431780161508694	True	False
28	3	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	0	1	0	0	1	0	0	0	0	0	0	0.3431780161508694	True	False
34	2	15	10	2	2	1	0.2	2	15	4	3	2	0.3	5	2	5	4	3	0.4	1	0	0	0	0	0	1	0	1	0	0	0.7290497073840416	True	False
34	1	15	2	1	2	4	0.3	2	5	2	3	1	0.4	5	10	4	4	2	0.1	1	0	0	0	0	0	1	0	1	0	0	0.7290497073840416	True	False
34	1	2	10	2	1	4	0.4	5	15	4	2	1	0.1	10	2	5	3	2	0.2	1	0	0	0	0	0	1	0	1	0	0	0.7290497073840416	True	False
34	1	5	10	4	2	1	0.4	10	15	5	3	2	0.1	15	2	1	4	3	0.2	1	0	0	0	0	0	1	0	1	0	0	0.7290497073840416	True	False
39	2	2	15	5	3	1	0.2	5	2	1	4	2	0.3	10	5	2	1	3	0.4	1	0	0	0	0	0	0	1	1	0	0	0.4385722446796244	True	False
39	1	2	2	2	4	3	0.4	5	5	4	1	4	0.1	10	10	5	2	1	0.2	1	0	0	0	0	0	0	1	1	0	0	0.4385722446796244	True	False
39	1	10	2	4	4	3	0.2	15	5	5	1	4	0.3	2	10	1	2	1	0.4	1	0	0	0	0	0	0	1	1	0	0	0.4385722446796244	True	False
39	2	2	5	5	2	2	0.2	5	10	1	3	3	0.3	10	15	2	4	4	0.4	1	0	0	0	0	0	0	1	1	0	0	0.4385722446796244	True	False
41	1	2	2	1	1	1	0.1	5	5	2	2	2	0.2	10	10	4	3	3	0.3	0	1	0	0	1	1	0	0	1	0	0	0.05967789660956835	True	False
41	3	5	10	5	3	3	0.1	10	15	1	4	4	0.2	15	2	2	1	1	0.3	0	1	0	0	1	1	0	0	1	0	0	0.05967789660956835	True	False
41	1	2	5	4	3	4	0.3	5	10	5	4	1	0.4	10	15	1	1	2	0.1	0	1	0	0	1	1	0	0	1	0	0	0.05967789660956835	True	False
41	3	10	15	2	2	3	0.1	15	2	4	3	4	0.2	2	5	5	4	1	0.3	0	1	0	0	1	1	0	0	1	0	0	0.05967789660956835	True	False
43	2	2	2	1	1	1	0.1	5	5	2	2	2	0.2	10	10	4	3	3	0.3	1	0	0	0	1	1	0	0	1	0	0	0.3980442553304314	True	False
43	1	5	10	5	3	3	0.1	10	15	1	4	4	0.2	15	2	2	1	1	0.3	1	0	0	0	1	1	0	0	1	0	0	0.3980442553304314	True	False
43	3	2	5	4	3	4	0.3	5	10	5	4	1	0.4	10	15	1	1	2	0.1	1	0	0	0	1	1	0	0	1	0	0	0.3980442553304314	True	False
43	2	10	15	2	2	3	0.1	15	2	4	3	4	0.2	2	5	5	4	1	0.3	1	0	0	0	1	1	0	0	1	0	0	0.3980442553304314	True	False
49	1	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	1	0	1	1	1	0	0	0	1	0	0	0.7379954057320357	True	False
49	1	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	1	0	1	1	1	0	0	0	1	0	0	0.7379954057320357	True	False
49	1	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	1	0	1	1	1	0	0	0	1	0	0	0.7379954057320357	True	False
49	3	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	1	0	1	1	1	0	0	0	1	0	0	0.7379954057320357	True	False
52	1	10	10	4	1	4	0.2	15	15	5	2	1	0.3	2	2	1	3	2	0.4	0	1	1	0	0	0	1	0	0	0	0	0.18249173045349998	True	False
52	3	10	10	5	4	2	0.3	15	15	1	1	3	0.4	2	2	2	2	4	0.1	0	1	1	0	0	0	1	0	0	0	0	0.18249173045349998	True	False
52	3	5	2	4	3	2	0.4	10	5	5	4	3	0.1	15	10	1	1	4	0.2	0	1	1	0	0	0	1	0	0	0	0	0.18249173045349998	True	False
52	3	2	10	1	4	2	0.1	5	15	2	1	3	0.2	10	2	4	2	4	0.3	0	1	1	0	0	0	1	0	0	0	0	0.18249173045349998	True	False
63	1	15	10	1	3	3	0.3	2	15	2	4	4	0.4	5	2	4	1	1	0.1	1	0	0	0	0	0	0	0	0	0	0	0.17545175614749253	True	False
63	1	10	5	2	3	4	0.1	15	10	4	4	1	0.2	2	15	5	1	2	0.3	1	0	0	0	0	0	0	0	0	0	0	0.17545175614749253	True	False
63	2	5	2	5	2	4	0.1	10	5	1	3	1	0.2	15	10	2	4	2	0.3	1	0	0	0	0	0	0	0	0	0	0	0.17545175614749253	True	False
63	2	5	5	2	4	1	0.3	10	10	4	1	2	0.4	15	15	5	2	3	0.1	1	0	0	0	0	0	0	0	0	0	0	0.17545175614749253	True	False
65	1	10	5	1	2	2	0.4	15	10	2	3	3	0.1	2	15	4	4	4	0.2	1	0	0	0	0	0	1	0	1	0	0	0.5315513738418384	True	False
65	3	15	5	4	4	1	0.1	2	10	5	1	2	0.2	5	15	1	2	3	0.3	1	0	0	0	0	0	1	0	1	0	0	0.5315513738418384	True	False
65	3	10	15	1	3	1	0.4	15	2	2	4	2	0.1	2	5	4	1	3	0.2	1	0	0	0	0	0	1	0	1	0	0	0.5315513738418384	True	False
65	3	15	15	5	4	4	0.4	2	2	1	1	1	0.1	5	5	2	2	2	0.2	1	0	0	0	0	0	1	0	1	0	0	0.5315513738418384	True	False
66	1	15	10	1	3	3	0.3	2	15	2	4	4	0.4	5	2	4	1	1	0.1	1	0	0	0	1	0	0	0	0	0	0	0.5318275870968661	True	False
66	1	10	5	2	3	4	0.1	15	10	4	4	1	0.2	2	15	5	1	2	0.3	1	0	0	0	1	0	0	0	0	0	0	0.5318275870968661	True	False
66	2	5	2	5	2	4	0.1	10	5	1	3	1	0.2	15	10	2	4	2	0.3	1	0	0	0	1	0	0	0	0	0	0	0.5318275870968661	True	False
66	1	5	5	2	4	1	0.3	10	10	4	1	2	0.4	15	15	5	2	3	0.1	1	0	0	0	1	0	0	0	0	0	0	0.5318275870968661	True	False
69	1	15	10	1	3	3	0.3	2	15	2	4	4	0.4	5	2	4	1	1	0.1	1	0	1	0	1	0	0	0	1	0	0	0.6344009585513211	True	False
69	1	10	5	2	3	4	0.1	15	10	4	4	1	0.2	2	15	5	1	2	0.3	1	0	1	0	1	0	0	0	1	0	0	0.6344009585513211	True	False
69	1	5	2	5	2	4	0.1	10	5	1	3	1	0.2	15	10	2	4	2	0.3	1	0	1	0	1	0	0	0	1	0	0	0.6344009585513211	True	False
69	1	5	5	2	4	1	0.3	10	10	4	1	2	0.4	15	15	5	2	3	0.1	1	0	1	0	1	0	0	0	1	0	0	0.6344009585513211	True	False
71	2	15	10	1	3	3	0.3	2	15	2	4	4	0.4	5	2	4	1	1	0.1	1	0	1	0	1	1	0	0	0	1	0	0.8494317940777896	False	True
71	1	10	5	2	3	4	0.1	15	10	4	4	1	0.2	2	15	5	1	2	0.3	1	0	1	0	1	1	0	0	0	1	0	0.8494317940777896	False	True
71	1	5	2	5	2	4	0.1	10	5	1	3	1	0.2	15	10	2	4	2	0.3	1	0	1	0	1	1	0	0	0	1	0	0.8494317940777896	False	True
71	3	5	5	2	4	1	0.3	10	10	4	1	2	0.4	15	15	5	2	3	0.1	1	0	1	0	1	1	0	0	0	1	0	0.8494317940777896	False	True
74	3	15	10	2	2	1	0.2	2	15	4	3	2	0.3	5	2	5	4	3	0.4	1	0	0	0	0	0	0	0	1	0	0	0.7244553248606352	True	False
74	2	15	2	1	2	4	0.3	2	5	2	3	1	0.4	5	10	4	4	2	0.1	1	0	0	0	0	0	0	0	1	0	0	0.7244553248606352	True	False
74	3	2	10	2	1	4	0.4	5	15	4	2	1	0.1	10	2	5	3	2	0.2	1	0	0	0	0	0	0	0	1	0	0	0.7244553248606352	True	False
74	1	5	10	4	2	1	0.4	10	15	5	3	2	0.1	15	2	1	4	3	0.2	1	0	0	0	0	0	0	0	1	0	0	0.7244553248606352	True	False
75	1	15	10	1	3	3	0.3	2	15	2	4	4	0.4	5	2	4	1	1	0.1	1	0	1	0	1	0	0	1	1	0	0	0.6110235106775829	True	False
75	1	10	5	2	3	4	0.1	15	10	4	4	1	0.2	2	15	5	1	2	0.3	1	0	1	0	1	0	0	1	1	0	0	0.6110235106775829	True	False
75	1	5	2	5	2	4	0.1	10	5	1	3	1	0.2	15	10	2	4	2	0.3	1	0	1	0	1	0	0	1	1	0	0	0.6110235106775829	True	False
75	2	5	5	2	4	1	0.3	10	10	4	1	2	0.4	15	15	5	2	3	0.1	1	0	1	0	1	0	0	1	1	0	0	0.6110235106775829	True	False
