Cntxt	ID	Choice	x11	x12	x13	x14	x21	x22	x23	x24	x31	x32	x33	x34	AV1	AV2	AV3
1	47	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	47	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	47	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	47	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	47	3	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	47	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	47	2	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	47	3	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	47	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	48	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	48	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	48	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	48	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	48	3	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	48	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	48	2	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	48	3	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	48	1	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	49	3	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	49	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	49	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	49	2	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	49	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	49	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	49	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	49	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	49	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	50	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	50	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	50	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	50	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	50	3	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	50	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	50	2	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	50	3	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	50	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	51	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	51	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	51	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	51	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	51	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	51	2	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	51	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	51	3	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	51	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	52	3	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	52	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	52	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	52	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	52	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	52	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	52	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	52	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	52	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
