RespID	Card	Mode	BaseTime	BaseCost	Gender	AgeClass	IncClass	TimeL	TimeR	CostL	CostR	Choice	TravTimeClass	Purpose
4	1	1	135	0	1	5	2	135	165	0	-3	1	3	1
4	2	1	135	0	1	5	2	150	135	-3	0	2	3	1
4	3	1	135	0	1	5	2	135	120	0	3.75	1	3	1
4	4	1	135	0	1	5	2	105	135	4.5	0	2	3	1
4	5	1	135	0	1	5	2	165	105	-0.75	0.75	2	3	1
4	6	1	135	0	1	5	2	105	150	0	-3	1	3	1
4	7	1	135	0	1	5	2	135	120	-4.5	0	2	3	1
4	9	1	135	0	1	5	2	120	135	3	-3	1	3	1
4	10	1	135	0	1	5	2	150	105	0	6	2	3	1
4	11	1	135	0	1	5	2	165	135	-2.25	3	2	3	1
4	12	1	135	0	1	5	2	135	150	9	0	1	3	1
9	1	1	130	0	1	2	6	130	160	0	-3	1	3	1
9	2	1	130	0	1	2	6	145	130	-3	0	2	3	1
9	3	1	130	0	1	2	6	130	115	0	3.75	2	3	1
9	4	1	130	0	1	2	6	100	130	4.5	0	1	3	1
9	5	1	130	0	1	2	6	160	100	-0.75	0.75	2	3	1
9	6	1	130	0	1	2	6	100	145	0	-3	1	3	1
9	7	1	130	0	1	2	6	130	115	-4.5	0	2	3	1
9	9	1	130	0	1	2	6	115	130	3	-3	1	3	1
9	10	1	130	0	1	2	6	145	100	0	6	2	3	1
9	11	1	130	0	1	2	6	160	130	-2.25	3	2	3	1
9	12	1	130	0	1	2	6	130	145	9	0	1	3	1
11	1	1	50	0	1	2	6	50	70	0	-2	1	2	1
11	2	1	50	0	1	2	6	60	50	-2	0	1	2	1
11	3	1	50	0	1	2	6	50	40	0	2.5	1	2	1
11	4	1	50	0	1	2	6	30	50	3	0	2	2	1
11	5	1	50	0	1	2	6	70	30	-0.5	0.5	2	2	1
11	6	1	50	0	1	2	6	30	60	0	-2	1	2	1
11	7	1	50	0	1	2	6	50	40	-3	0	1	2	1
11	9	1	50	0	1	2	6	40	50	2	-2	2	2	1
11	10	1	50	0	1	2	6	60	30	0	4	1	2	1
11	11	1	50	0	1	2	6	70	50	-1.5	2	2	2	1
11	12	1	50	0	1	2	6	50	60	6	0	2	2	1
65	1	1	60	0	1	3	8	60	80	0	-2	1	2	1
65	2	1	60	0	1	3	8	70	60	-2	0	2	2	1
65	3	1	60	0	1	3	8	60	50	0	2.5	1	2	1
65	4	1	60	0	1	3	8	40	60	3	0	1	2	1
65	5	1	60	0	1	3	8	80	40	-0.5	0.5	2	2	1
65	6	1	60	0	1	3	8	40	70	0	-2	1	2	1
65	7	1	60	0	1	3	8	60	50	-3	0	2	2	1
65	9	1	60	0	1	3	8	50	60	2	-2	2	2	1
65	10	1	60	0	1	3	8	70	40	0	4	1	2	1
65	11	1	60	0	1	3	8	80	60	-1.5	2	1	2	1
65	12	1	60	0	1	3	8	60	70	6	0	2	2	1
77	1	1	55	0	1	2	7	55	75	0	-2	1	2	1
77	2	1	55	0	1	2	7	65	55	-2	0	2	2	1
77	3	1	55	0	1	2	7	55	45	0	2.5	1	2	1
77	4	1	55	0	1	2	7	35	55	3	0	1	2	1
77	5	1	55	0	1	2	7	75	35	-0.5	0.5	2	2	1
77	6	1	55	0	1	2	7	35	65	0	-2	1	2	1
77	7	1	55	0	1	2	7	55	45	-3	0	2	2	1
77	9	1	55	0	1	2	7	45	55	2	-2	1	2	1
77	10	1	55	0	1	2	7	65	35	0	4	2	2	1
77	11	1	55	0	1	2	7	75	55	-1.5	2	2	2	1
77	12	1	55	0	1	2	7	55	65	6	0	1	2	1
78	1	1	60	0	2	2	5	60	80	0	-2	1	2	1
78	2	1	60	0	2	2	5	70	60	-2	0	2	2	1
78	3	1	60	0	2	2	5	60	50	0	2.5	2	2	1
78	4	1	60	0	2	2	5	40	60	3	0	1	2	1
78	5	1	60	0	2	2	5	80	40	-0.5	0.5	2	2	1
78	6	1	60	0	2	2	5	40	70	0	-2	1	2	1
78	7	1	60	0	2	2	5	60	50	-3	0	2	2	1
78	9	1	60	0	2	2	5	50	60	2	-2	1	2	1
78	10	1	60	0	2	2	5	70	40	0	4	2	2	1
78	11	1	60	0	2	2	5	80	60	-1.5	2	2	2	1
78	12	1	60	0	2	2	5	60	70	6	0	2	2	1
97	1	1	45	0	1	4	6	45	55	0	-1	1	1	1
