RespID,Choice_0,CostL_0,CostR_0,TimeL_0,TimeR_0,Choice_1,CostL_1,CostR_1,TimeL_1,TimeR_1,Choice_2,CostL_2,CostR_2,TimeL_2,TimeR_2,Choice_3,CostL_3,CostR_3,TimeL_3,TimeR_3,Choice_4,CostL_4,CostR_4,TimeL_4,TimeR_4,Choice_5,CostL_5,CostR_5,TimeL_5,TimeR_5,Choice_6,CostL_6,CostR_6,TimeL_6,TimeR_6,Choice_7,CostL_7,CostR_7,TimeL_7,TimeR_7,Choice_8,CostL_8,CostR_8,TimeL_8,TimeR_8,Choice_9,CostL_9,CostR_9,TimeL_9,TimeR_9,Choice_10,CostL_10,CostR_10,TimeL_10,TimeR_10,BaseCost,Gender,AgeClass,Mode,BaseTime,TravTimeClass,Purpose,IncClass
2,1.0,0.0,-2.0,60.0,80.0,1.0,6.0,0.0,60.0,70.0,2.0,-1.5,2.0,80.0,60.0,2.0,0.0,4.0,70.0,40.0,1.0,2.0,-2.0,50.0,60.0,2.0,-2.0,0.0,70.0,60.0,1.0,0.0,-2.0,40.0,70.0,2.0,-0.5,0.5,80.0,40.0,1.0,3.0,0.0,40.0,60.0,2.0,0.0,2.5,60.0,50.0,2.0,-3.0,0.0,60.0,50.0,0,1,3,1,60,2,2,8
3,2.0,6.0,0.0,60.0,70.0,2.0,-2.0,0.0,70.0,60.0,1.0,0.0,2.5,60.0,50.0,1.0,3.0,0.0,40.0,60.0,2.0,-0.5,0.5,80.0,40.0,1.0,0.0,-2.0,40.0,70.0,2.0,-3.0,0.0,60.0,50.0,2.0,2.0,-2.0,50.0,60.0,2.0,0.0,4.0,70.0,40.0,2.0,-1.5,2.0,80.0,60.0,1.0,0.0,-2.0,60.0,80.0,0,1,2,1,60,2,2,6
4,1.0,0.0,-3.0,135.0,165.0,2.0,-3.0,0.0,150.0,135.0,2.0,4.5,0.0,105.0,135.0,2.0,-0.75,0.75,165.0,105.0,1.0,0.0,-3.0,105.0,150.0,2.0,-4.5,0.0,135.0,120.0,1.0,3.0,-3.0,120.0,135.0,2.0,0.0,6.0,150.0,105.0,2.0,-2.25,3.0,165.0,135.0,1.0,9.0,0.0,135.0,150.0,1.0,0.0,3.75,135.0,120.0,0,1,5,1,135,3,1,2
9,1.0,0.0,-3.0,130.0,160.0,1.0,9.0,0.0,130.0,145.0,1.0,4.5,0.0,100.0,130.0,2.0,-0.75,0.75,160.0,100.0,1.0,0.0,-3.0,100.0,145.0,2.0,-4.5,0.0,130.0,115.0,1.0,3.0,-3.0,115.0,130.0,2.0,0.0,6.0,145.0,100.0,2.0,-2.25,3.0,160.0,130.0,2.0,0.0,3.75,130.0,115.0,2.0,-3.0,0.0,145.0,130.0,0,1,2,1,130,3,1,6
11,1.0,0.0,-2.0,50.0,70.0,1.0,-2.0,0.0,60.0,50.0,1.0,0.0,2.5,50.0,40.0,1.0,0.0,-2.0,30.0,60.0,1.0,-3.0,0.0,50.0,40.0,2.0,2.0,-2.0,40.0,50.0,1.0,0.0,4.0,60.0,30.0,2.0,-1.5,2.0,70.0,50.0,2.0,6.0,0.0,50.0,60.0,2.0,-0.5,0.5,70.0,30.0,2.0,3.0,0.0,30.0,50.0,0,1,2,1,50,2,1,6
14,2.0,3.0,0.0,55.0,75.0,1.0,0.0,-2.0,75.0,95.0,2.0,-0.5,0.5,95.0,55.0,1.0,0.0,-2.0,55.0,85.0,2.0,2.0,-2.0,65.0,75.0,1.0,0.0,4.0,85.0,55.0,1.0,-1.5,2.0,95.0,75.0,2.0,6.0,0.0,75.0,85.0,1.0,0.0,2.5,75.0,65.0,2.0,-2.0,0.0,85.0,75.0,1.0,-3.0,0.0,75.0,65.0,0,1,3,1,75,2,2,6
21,1.0,0.0,-2.0,70.0,100.0,1.0,2.0,-2.0,80.0,90.0,2.0,-3.0,0.0,90.0,80.0,1.0,6.0,0.0,90.0,100.0,2.0,-0.5,0.5,110.0,70.0,2.0,3.0,0.0,70.0,90.0,1.0,0.0,2.5,90.0,80.0,2.0,-2.0,0.0,100.0,90.0,1.0,0.0,-2.0,90.0,110.0,2.0,-1.5,2.0,110.0,90.0,2.0,0.0,4.0,100.0,70.0,0,1,4,1,90,2,2,7
24,2.0,-1.0,0.0,45.0,40.0,2.0,0.0,1.25,40.0,35.0,1.0,1.5,0.0,30.0,40.0,2.0,-0.25,0.25,50.0,30.0,1.0,0.0,-1.0,30.0,45.0,2.0,-1.5,0.0,40.0,35.0,1.0,1.0,-1.0,35.0,40.0,2.0,0.0,2.0,45.0,30.0,1.0,0.0,-1.0,40.0,50.0,1.0,3.0,0.0,40.0,45.0,2.0,-0.75,1.0,50.0,40.0,0,1,2,1,40,1,2,8
28,1.0,3.0,0.0,45.0,50.0,2.0,-0.75,1.0,55.0,45.0,2.0,0.0,2.0,50.0,35.0,2.0,1.0,-1.0,40.0,45.0,1.0,-1.5,0.0,45.0,40.0,1.0,0.0,-1.0,35.0,50.0,2.0,-0.25,0.25,55.0,35.0,2.0,1.5,0.0,35.0,45.0,1.0,0.0,-1.0,45.0,55.0,1.0,0.0,1.25,45.0,40.0,2.0,-1.0,0.0,50.0,45.0,0,1,3,1,45,1,2,8
29,1.0,3.0,0.0,45.0,50.0,2.0,0.0,2.0,50.0,35.0,1.0,1.0,-1.0,40.0,45.0,2.0,-1.5,0.0,45.0,40.0,1.0,0.0,-1.0,35.0,50.0,2.0,-0.25,0.25,55.0,35.0,2.0,1.5,0.0,35.0,45.0,1.0,0.0,1.25,45.0,40.0,2.0,-1.0,0.0,50.0,45.0,2.0,-0.75,1.0,55.0,45.0,1.0,0.0,-1.0,45.0,55.0,0,1,2,1,45,1,2,7
